,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
138,2019-07-04T21:00:00.000000000Z,13141,107.816,108.638,107.784,108.474,107.795,108.632,107.753,108.448,107.836,108.644,107.791,108.501
139,2019-07-05T21:00:00.000000000Z,1,108.470,108.470,108.470,108.470,108.449,108.449,108.449,108.449,108.490,108.490,108.490,108.490
140,2019-07-07T21:00:00.000000000Z,9363,108.445,108.808,108.281,108.724,108.395,108.801,108.275,108.716,108.495,108.814,108.287,108.733
141,2019-07-08T21:00:00.000000000Z,9574,108.724,108.964,108.682,108.856,108.716,108.957,108.644,108.848,108.733,108.970,108.693,108.865
142,2019-07-09T21:00:00.000000000Z,13613,108.869,108.991,108.348,108.466,108.850,108.985,108.343,108.459,108.888,108.997,108.354,108.472
143,2019-07-10T21:00:00.000000000Z,15062,108.444,108.533,107.860,108.495,108.416,108.527,107.854,108.485,108.473,108.539,107.866,108.505
144,2019-07-11T21:00:00.000000000Z,13278,108.492,108.610,107.804,107.906,108.480,108.604,107.798,107.881,108.504,108.616,107.810,107.932
145,2019-07-12T21:00:00.000000000Z,1,107.902,107.902,107.902,107.902,107.876,107.876,107.876,107.876,107.928,107.928,107.928,107.928
146,2019-07-14T21:00:00.000000000Z,9571,107.916,108.110,107.800,107.909,107.866,108.104,107.794,107.896,107.966,108.116,107.806,107.922
147,2019-07-15T21:00:00.000000000Z,13110,107.914,108.375,107.822,108.240,107.898,108.369,107.815,108.222,107.929,108.381,107.830,108.258
148,2019-07-16T21:00:00.000000000Z,11053,108.244,108.327,107.943,107.950,108.223,108.321,107.932,107.941,108.264,108.333,107.954,107.958
149,2019-07-17T21:00:00.000000000Z,17832,107.992,108.016,107.212,107.296,107.942,108.010,107.205,107.285,108.042,108.042,107.218,107.306
150,2019-07-18T21:00:00.000000000Z,18195,107.296,107.978,107.216,107.726,107.285,107.971,107.207,107.676,107.306,107.985,107.226,107.776
151,2019-07-21T21:00:00.000000000Z,12385,107.777,108.068,107.702,107.872,107.727,108.062,107.674,107.860,107.827,108.077,107.710,107.885
152,2019-07-22T21:00:00.000000000Z,12120,107.864,108.290,107.827,108.228,107.846,108.285,107.821,108.206,107.883,108.296,107.833,108.250
153,2019-07-23T21:00:00.000000000Z,11125,108.223,108.276,107.932,108.188,108.202,108.269,107.924,108.166,108.244,108.283,107.939,108.211
154,2019-07-24T21:00:00.000000000Z,14964,108.153,108.756,108.044,108.636,108.120,108.749,108.037,108.628,108.186,108.763,108.050,108.645
155,2019-07-25T21:00:00.000000000Z,10843,108.640,108.830,108.562,108.679,108.617,108.823,108.555,108.629,108.664,108.837,108.568,108.729
156,2019-07-28T21:00:00.000000000Z,7468,108.666,108.900,108.423,108.782,108.617,108.893,108.417,108.771,108.716,108.906,108.429,108.792
157,2019-07-29T21:00:00.000000000Z,14003,108.784,108.948,108.454,108.606,108.775,108.941,108.447,108.588,108.792,108.954,108.462,108.625
158,2019-07-30T21:00:00.000000000Z,23977,108.615,109.000,108.492,108.764,108.585,108.993,108.485,108.750,108.645,109.009,108.498,108.779
159,2019-07-31T21:00:00.000000000Z,34394,108.784,109.320,107.257,107.350,108.751,109.311,107.250,107.326,108.816,109.330,107.264,107.374
