,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
212,2019-10-23T21:00:00.000000000Z,16393,1.11314,1.11628,1.10931,1.11046,1.11300,1.11621,1.10926,1.11038,1.11327,1.11635,1.10936,1.11053
213,2019-10-24T21:00:00.000000000Z,8795,1.11052,1.11230,1.10730,1.10795,1.11017,1.11225,1.10724,1.10758,1.11086,1.11236,1.10735,1.10832
214,2019-10-27T21:00:00.000000000Z,8160,1.10804,1.11066,1.10764,1.10997,1.10790,1.11060,1.10744,1.10991,1.10817,1.11072,1.10770,1.11003
215,2019-10-28T21:00:00.000000000Z,10538,1.10994,1.11185,1.10737,1.11113,1.10979,1.11179,1.10731,1.11095,1.11010,1.11191,1.10743,1.11131
216,2019-10-29T21:00:00.000000000Z,18842,1.11117,1.11516,1.10801,1.11503,1.11109,1.11510,1.10795,1.11494,1.11125,1.11522,1.10807,1.11512
217,2019-10-30T21:00:00.000000000Z,17347,1.11499,1.11756,1.11317,1.11514,1.11473,1.11749,1.11310,1.11464,1.11525,1.11764,1.11324,1.11564
218,2019-10-31T21:00:00.000000000Z,14603,1.11514,1.11718,1.11282,1.11654,1.11464,1.11713,1.11276,1.11637,1.11564,1.11724,1.11289,1.11672
219,2019-11-03T22:00:00.000000000Z,10780,1.11692,1.11756,1.11248,1.11282,1.11674,1.11750,1.11242,1.11270,1.11709,1.11761,1.11254,1.11294
220,2019-11-04T22:00:00.000000000Z,15313,1.11282,1.11403,1.10637,1.10742,1.11270,1.11397,1.10631,1.10733,1.11294,1.11409,1.10643,1.10750
221,2019-11-05T22:00:00.000000000Z,10889,1.10744,1.10928,1.10651,1.10664,1.10737,1.10922,1.10638,1.10655,1.10752,1.10934,1.10658,1.10672
222,2019-11-06T22:00:00.000000000Z,17423,1.10680,1.10917,1.10360,1.10498,1.10653,1.10911,1.10353,1.10485,1.10707,1.10923,1.10366,1.10510
223,2019-11-07T22:00:00.000000000Z,11193,1.10494,1.10555,1.10168,1.10192,1.10483,1.10549,1.10145,1.10145,1.10504,1.10561,1.10174,1.10238
224,2019-11-10T22:00:00.000000000Z,7152,1.10246,1.10430,1.10164,1.10332,1.10215,1.10424,1.10152,1.10320,1.10276,1.10436,1.10171,1.10345
225,2019-11-11T22:00:00.000000000Z,10506,1.10332,1.10386,1.10026,1.10090,1.10320,1.10380,1.10020,1.10080,1.10345,1.10401,1.10032,1.10099
226,2019-11-12T22:00:00.000000000Z,11458,1.10092,1.10204,1.09956,1.10068,1.10082,1.10198,1.09950,1.10055,1.10101,1.10210,1.09961,1.10080
227,2019-11-13T22:00:00.000000000Z,10363,1.10054,1.10277,1.09891,1.10210,1.10013,1.10271,1.09885,1.10195,1.10096,1.10283,1.09897,1.10225
228,2019-11-14T22:00:00.000000000Z,7957,1.10210,1.10569,1.10147,1.10514,1.10195,1.10563,1.10141,1.10479,1.10225,1.10575,1.10152,1.10549
229,2019-11-17T22:00:00.000000000Z,8292,1.10517,1.10900,1.10502,1.10733,1.10477,1.10894,1.10457,1.10683,1.10557,1.10905,1.10518,1.10783
230,2019-11-18T22:00:00.000000000Z,7294,1.10718,1.10840,1.10627,1.10783,1.10705,1.10833,1.10621,1.10777,1.10730,1.10846,1.10633,1.10789
231,2019-11-19T22:00:00.000000000Z,10412,1.10776,1.10813,1.10532,1.10724,1.10766,1.10807,1.10526,1.10716,1.10786,1.10850,1.10538,1.10733
232,2019-11-20T22:00:00.000000000Z,9515,1.10731,1.10970,1.10522,1.10582,1.10713,1.10965,1.10515,1.10532,1.10749,1.10976,1.10528,1.10632
233,2019-11-21T22:00:00.000000000Z,11765,1.10587,1.10876,1.10146,1.10198,1.10570,1.10863,1.10139,1.10159,1.10604,1.10890,1.10152,1.10236
234,2019-11-24T22:00:00.000000000Z,8904,1.10176,1.10322,1.10036,1.10115,1.10147,1.10316,1.10029,1.10065,1.10205,1.10328,1.10042,1.10165
235,2019-11-25T22:00:00.000000000Z,9061,1.10137,1.10256,1.10072,1.10216,1.10114,1.10251,1.10057,1.10209,1.10160,1.10262,1.10079,1.10224
236,2019-11-26T22:00:00.000000000Z,9158,1.10214,1.10246,1.09924,1.09988,1.10204,1.10233,1.09919,1.09978,1.10224,1.10267,1.09930,1.09998
237,2019-11-27T22:00:00.000000000Z,6484,1.10044,1.10178,1.10001,1.10091,1.09994,1.10173,1.09958,1.10062,1.10094,1.10185,1.10011,1.10120
238,2019-11-28T22:00:00.000000000Z,7672,1.10101,1.10284,1.09812,1.10191,1.10051,1.10278,1.09806,1.10154,1.10151,1.10290,1.09819,1.10228
239,2019-12-01T22:00:00.000000000Z,11033,1.10242,1.10898,1.10031,1.10792,1.10228,1.10889,1.10024,1.10784,1.10256,1.10912,1.10037,1.10800
240,2019-12-02T22:00:00.000000000Z,10303,1.10792,1.10936,1.10660,1.10822,1.10784,1.10930,1.10654,1.10807,1.10800,1.10942,1.10665,1.10836
241,2019-12-03T22:00:00.000000000Z,13155,1.10822,1.11163,1.10668,1.10775,1.10807,1.11155,1.10662,1.10765,1.10836,1.11173,1.10674,1.10785
242,2019-12-04T22:00:00.000000000Z,9141,1.10780,1.11080,1.10780,1.11040,1.10765,1.11074,1.10764,1.11034,1.10796,1.11087,1.10794,1.11047
243,2019-12-05T22:00:00.000000000Z,10222,1.11040,1.11096,1.10400,1.10599,1.11034,1.11090,1.10394,1.10549,1.11047,1.11103,1.10406,1.10649
244,2019-12-08T22:00:00.000000000Z,5884,1.10599,1.10780,1.10534,1.10638,1.10549,1.10774,1.10528,1.10632,1.10649,1.10786,1.10541,1.10645
245,2019-12-09T22:00:00.000000000Z,8015,1.10642,1.10977,1.10629,1.10932,1.10625,1.10971,1.10622,1.10909,1.10660,1.10983,1.10636,1.10956
246,2019-12-10T22:00:00.000000000Z,11909,1.10926,1.11448,1.10704,1.11299,1.10892,1.11442,1.10699,1.11291,1.10960,1.11454,1.10710,1.11307
247,2019-12-11T22:00:00.000000000Z,16882,1.11302,1.11544,1.11030,1.11308,1.11287,1.11538,1.11024,1.11268,1.11318,1.11550,1.11037,1.11349
248,2019-12-12T22:00:00.000000000Z,27846,1.11540,1.11996,1.11122,1.11209,1.11490,1.11985,1.11114,1.11171,1.11590,1.12010,1.11128,1.11247
249,2019-12-15T22:00:00.000000000Z,10448,1.11289,1.11580,1.11229,1.11440,1.11257,1.11574,1.11222,1.11429,1.11321,1.11586,1.11236,1.11451
250,2019-12-16T22:00:00.000000000Z,11699,1.11456,1.11746,1.11294,1.11509,1.11412,1.11740,1.11287,1.11495,1.11499,1.11753,1.11300,1.11523
251,2019-12-17T22:00:00.000000000Z,9511,1.11503,1.11542,1.11106,1.11138,1.11468,1.11533,1.11099,1.11125,1.11538,1.11565,1.11112,1.11150
252,2019-12-18T22:00:00.000000000Z,11117,1.11134,1.11443,1.11074,1.11208,1.11111,1.11437,1.11067,1.11174,1.11157,1.11449,1.11080,1.11242
253,2019-12-19T22:00:00.000000000Z,9282,1.11219,1.11252,1.10664,1.10765,1.11186,1.11242,1.10657,1.10715,1.11252,1.11277,1.10670,1.10815
254,2019-12-22T22:00:00.000000000Z,8254,1.10810,1.10958,1.10700,1.10896,1.10790,1.10952,1.10694,1.10888,1.10831,1.10964,1.10706,1.10904
255,2019-12-23T22:00:00.000000000Z,7187,1.10896,1.10940,1.10691,1.10882,1.10888,1.10933,1.10684,1.10860,1.10904,1.10946,1.10698,1.10903
256,2019-12-25T22:00:00.000000000Z,3177,1.10882,1.11090,1.10824,1.10966,1.10860,1.11084,1.10818,1.10955,1.10903,1.11097,1.10831,1.10976
257,2019-12-26T22:00:00.000000000Z,12157,1.10986,1.11883,1.10964,1.11758,1.10943,1.11877,1.10924,1.11708,1.11028,1.11889,1.10980,1.11808
258,2019-12-29T22:00:00.000000000Z,12912,1.11773,1.12208,1.11718,1.11992,1.11723,1.12202,1.11668,1.11974,1.11823,1.12214,1.11751,1.12010
259,2019-12-30T22:00:00.000000000Z,12004,1.12012,1.12392,1.11980,1.12120,1.11973,1.12386,1.11955,1.12083,1.12052,1.12411,1.11996,1.12157
260,2020-01-01T22:00:00.000000000Z,12704,1.12124,1.12247,1.11636,1.11728,1.12083,1.12240,1.11630,1.11721,1.12165,1.12260,1.11642,1.11735
261,2020-01-02T22:00:00.000000000Z,14490,1.11728,1.11799,1.11249,1.11592,1.11721,1.11793,1.11243,1.11542,1.11735,1.11805,1.11255,1.11642
262,2020-01-05T22:00:00.000000000Z,10729,1.11665,1.12056,1.11573,1.11972,1.11619,1.12051,1.11549,1.11964,1.11711,1.12063,1.11579,1.11979
263,2020-01-06T22:00:00.000000000Z,13260,1.11950,1.11974,1.11336,1.11512,1.11926,1.11965,1.11330,1.11462,1.11975,1.11992,1.11342,1.11562
264,2020-01-07T22:00:00.000000000Z,19074,1.11506,1.11684,1.11016,1.11038,1.11466,1.11675,1.10999,1.10999,1.11546,1.11692,1.11024,1.11076
265,2020-01-08T22:00:00.000000000Z,11044,1.11052,1.11204,1.10926,1.11062,1.11042,1.11198,1.10917,1.11047,1.11062,1.11210,1.10934,1.11077
266,2020-01-09T22:00:00.000000000Z,11269,1.11051,1.11290,1.10851,1.11205,1.11006,1.11285,1.10844,1.11155,1.11096,1.11296,1.10858,1.11255
267,2020-01-12T22:00:00.000000000Z,36632,1.11205,1.11472,1.11126,1.11346,1.11155,1.11464,1.11119,1.11332,1.11255,1.11479,1.11133,1.11361
268,2020-01-13T22:00:00.000000000Z,44621,1.11351,1.11446,1.11044,1.11274,1.11301,1.11440,1.11038,1.11245,1.11401,1.11452,1.11050,1.11304
269,2020-01-14T22:00:00.000000000Z,38985,1.11280,1.11636,1.11184,1.11499,1.11235,1.11629,1.11178,1.11487,1.11325,1.11642,1.11189,1.11511
270,2020-01-15T22:00:00.000000000Z,41949,1.11496,1.11726,1.11279,1.11364,1.11486,1.11719,1.11272,1.11341,1.11506,1.11734,1.11286,1.11388
271,2020-01-16T22:00:00.000000000Z,38183,1.11370,1.11426,1.10864,1.10902,1.11349,1.11419,1.10858,1.10874,1.11391,1.11433,1.10869,1.10929
272,2020-01-19T22:00:00.000000000Z,22822,1.10930,1.11026,1.10766,1.10950,1.10883,1.11019,1.10761,1.10937,1.10978,1.11033,1.10772,1.10962
273,2020-01-20T22:00:00.000000000Z,38986,1.10945,1.11180,1.10811,1.10822,1.10924,1.11174,1.10802,1.10812,1.10966,1.11186,1.10817,1.10833
274,2020-01-21T22:00:00.000000000Z,41211,1.10867,1.10984,1.10702,1.10936,1.10817,1.10978,1.10696,1.10912,1.10917,1.10991,1.10708,1.10959
275,2020-01-22T22:00:00.000000000Z,58325,1.10932,1.11088,1.10364,1.10563,1.10910,1.11082,1.10358,1.10513,1.10954,1.11095,1.10369,1.10613
276,2020-01-23T22:00:00.000000000Z,46040,1.10558,1.10618,1.10198,1.10252,1.10508,1.10612,1.10188,1.10222,1.10608,1.10632,1.10208,1.10282
277,2020-01-26T22:00:00.000000000Z,42617,1.10342,1.10376,1.10098,1.10188,1.10295,1.10370,1.10092,1.10177,1.10390,1.10390,1.10104,1.10200
278,2020-01-27T22:00:00.000000000Z,37630,1.10188,1.10254,1.09980,1.10221,1.10177,1.10247,1.09974,1.10213,1.10200,1.10262,1.09985,1.10229
279,2020-01-28T22:00:00.000000000Z,38930,1.10223,1.10277,1.09924,1.10111,1.10209,1.10271,1.09917,1.10091,1.10237,1.10283,1.09931,1.10131
280,2020-01-29T22:00:00.000000000Z,47467,1.10106,1.10394,1.10069,1.10316,1.10076,1.10388,1.10063,1.10300,1.10136,1.10401,1.10075,1.10333
281,2020-01-30T22:00:00.000000000Z,51966,1.10320,1.10956,1.10171,1.10945,1.10299,1.10946,1.10165,1.10904,1.10342,1.10986,1.10177,1.10986
282,2020-02-02T22:00:00.000000000Z,52067,1.10956,1.10956,1.10355,1.10607,1.10946,1.10946,1.10306,1.10557,1.10967,1.10973,1.10368,1.10657
283,2020-02-03T22:00:00.000000000Z,46425,1.10602,1.10642,1.10330,1.10444,1.10552,1.10636,1.10323,1.10434,1.10652,1.10652,1.10336,1.10453
284,2020-02-04T22:00:00.000000000Z,50768,1.10446,1.10480,1.09937,1.09987,1.10433,1.10474,1.09930,1.09975,1.10458,1.10486,1.09943,1.09999
